External_Id__c,FirstName,LastName,Email,Phone,Title,Account:Account:External_Id__c
MAYO_CLINIC_ROCHESTER_CMO,Dr. Sarah,Mitchell,sarah.mitchell@mayo.invalid,(555) 284-2501,Chief Medical Officer,MAYO_CLINIC_ROCHESTER
MAYO_CLINIC_ROCHESTER_IT,Michael,Thompson,michael.thompson@mayo.invalid,(555) 284-2502,IT Director,MAYO_CLINIC_ROCHESTER
MAYO_CLINIC_ROCHESTER_PROC,Jennifer,Rodriguez,jennifer.rodriguez@mayo.invalid,(555) 284-2503,Procurement Manager,MAYO_CLINIC_ROCHESTER
CLEVELAND_CLINIC_MAIN_CMO,Dr. Robert,Chen,robert.chen@cleveland.invalid,(555) 444-2201,Chief Medical Officer,CLEVELAND_CLINIC_MAIN
CLEVELAND_CLINIC_MAIN_IT,Lisa,Anderson,lisa.anderson@cleveland.invalid,(555) 444-2202,IT Director,CLEVELAND_CLINIC_MAIN
CLEVELAND_CLINIC_MAIN_PROC,David,Williams,david.williams@cleveland.invalid,(555) 444-2203,Procurement Manager,CLEVELAND_CLINIC_MAIN
JOHNS_HOPKINS_HOSPITAL_CMO,Dr. Maria,Garcia,maria.garcia@hopkins.invalid,(555) 955-5001,Chief Medical Officer,JOHNS_HOPKINS_HOSPITAL
JOHNS_HOPKINS_HOSPITAL_IT,James,Johnson,james.johnson@hopkins.invalid,(555) 955-5002,IT Director,JOHNS_HOPKINS_HOSPITAL
JOHNS_HOPKINS_HOSPITAL_PROC,Patricia,Brown,patricia.brown@hopkins.invalid,(555) 955-5003,Procurement Manager,JOHNS_HOPKINS_HOSPITAL
MASS_GENERAL_BRIGHAM_CMO,Dr. Christopher,Davis,christopher.davis@massgb.invalid,(555) 726-2001,Chief Medical Officer,MASS_GENERAL_BRIGHAM
MASS_GENERAL_BRIGHAM_IT,Amanda,Miller,amanda.miller@massgb.invalid,(555) 726-2002,IT Director,MASS_GENERAL_BRIGHAM
MASS_GENERAL_BRIGHAM_PROC,Kevin,Wilson,kevin.wilson@massgb.invalid,(555) 726-2003,Procurement Manager,MASS_GENERAL_BRIGHAM
STANFORD_HEALTH_CARE_CMO,Dr. Rachel,Moore,rachel.moore@stanford.invalid,(555) 723-4001,Chief Medical Officer,STANFORD_HEALTH_CARE
